"filename", "language", "Dart", "comment", "blank", "total"
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/header_phone.dart", "Dart", 56, 8, 4, 68
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/ripple_button.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/simmer/chip_swimmer.dart", "Dart", 61, 0, 3, 64
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/simmer/image_shwimmer.dart", "Dart", 18, 0, 3, 21
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/simmer/song_shwimar.dart", "Dart", 203, 9, 14, 226
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/small_song_list.dart", "Dart", 31, 13, 5, 49
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/song_widget.dart", "Dart", 247, 9, 14, 270
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song/components/total_documnet.dart", "Dart", 18, 0, 3, 21
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/body.dart", "Dart", 133, 2, 8, 143
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/build_body.dart", "Dart", 78, 1, 8, 87
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/filter_chips_category.dart", "Dart", 120, 0, 4, 124
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/filter_chips_section.dart", "Dart", 103, 0, 5, 108
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/header.dart", "Dart", 69, 0, 4, 73
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/header_phone.dart", "Dart", 56, 8, 4, 68
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/offer_image.dart", "Dart", 45, 0, 4, 49
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/ripple_button.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/components/small_song_list.dart", "Dart", 30, 13, 5, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/song_list/song_list_screen.dart", "Dart", 46, 0, 5, 51
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/components/body.dart", "Dart", 98, 1, 5, 104
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/components/build_body.dart", "Dart", 67, 1, 8, 76
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/components/header_phone.dart", "Dart", 56, 8, 4, 68
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/components/ripple_button.dart", "Dart", 44, 0, 4, 48
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/components/small_song_list.dart", "Dart", 31, 13, 5, 49
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/components/total_documnet.dart", "Dart", 18, 0, 4, 22
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/screens/top_rated/top_rated_screen.dart", "Dart", 23, 0, 3, 26
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/app_bar/app_bar.dart", "Dart", 45, 1, 5, 51
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/app_bar/main_app_bar.dart", "Dart", 60, 15, 6, 81
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/chip/chip_shimer.dart", "Dart", 59, 0, 3, 62
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/chip/image_chip_shimer.dart", "Dart", 17, 0, 3, 20
"/Users/abdualhabib/Desktop/bussenes/flutter_project/production/studio_tm/lib/view/widgets/custome_floating_action_button.dart", "Dart", 26, 0, 4, 30
